n,ID,Code,Scode,Date,Time,Rainfall(in),Rainfall(mm),Rainfall Rate ( mm/hr)
1,1560029C,ANHH1,PC,3/17/19,2:00,146.65,3724.91,0
2,1560029C,ANHH1,PC,3/17/19,5:00,146.65,3724.91,0
29,1560029C,ANHH1,PC,3/17/19,8:00,146.65,3724.91,0
41,1560029C,ANHH1,PC,3/17/19,11:00,146.65,3724.91,0
53,1560029C,ANHH1,PC,3/17/19,13:00,146.65,3724.91,0
65,1560029C,ANHH1,PC,3/17/19,16:00,146.65,3724.91,0
77,1560029C,ANHH1,PC,3/17/19,19:00,146.65,3724.91,0
89,1560029C,ANHH1,PC,3/17/19,22:00,146.65,3724.91,0
101,1560029C,ANHH1,PC,3/18/19,0:00,146.65,3724.91,0
113,1560029C,ANHH1,PC,3/18/19,3:00,146.65,3724.91,0
125,1560029C,ANHH1,PC,3/18/19,6:00,146.65,3724.91,0
137,1560029C,ANHH1,PC,3/18/19,9:00,146.65,3724.91,0
149,1560029C,ANHH1,PC,3/18/19,11:17,146.65,3724.91,0
161,1560029C,ANHH1,PC,3/18/19,14:00,146.65,3724.91,0
173,1560029C,ANHH1,PC,3/18/19,17:00,146.65,3724.91,0
185,1560029C,ANHH1,PC,3/18/19,20:00,146.65,3724.91,0
197,1560029C,ANHH1,PC,3/18/19,23:00,146.65,3724.91,0
209,1560029C,ANHH1,PC,3/19/19,1:00,146.65,3724.91,0
221,1560029C,ANHH1,PC,3/19/19,4:00,146.65,3724.91,0
233,1560029C,ANHH1,PC,3/19/19,7:00,146.65,3724.91,0
245,1560029C,ANHH1,PC,3/19/19,10:00,146.65,3724.91,0
257,1560029C,ANHH1,PC,3/19/19,12:00,146.65,3724.91,0
269,1560029C,ANHH1,PC,3/19/19,15:00,146.65,3724.91,0
281,1560029C,ANHH1,PC,3/19/19,18:00,146.65,3724.91,0
293,1560029C,ANHH1,PC,3/19/19,21:00,146.65,3724.91,0
305,1560029C,ANHH1,PC,3/19/19,23:16,146.65,3724.91,0
317,1560029C,ANHH1,PC,3/20/19,2:00,146.65,3724.91,0
329,1560029C,ANHH1,PC,3/20/19,5:00,146.65,3724.91,0
